DLL,Version,Arch,Section,Key,Symbol,Nosymbol,Kind,Status
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,LocalOnlyOffset.x64,96901,,mismatch,DIFF
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,LocalOnlyOffset.x64,95EF1,,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.10240.21161_x64.dll,10.0.10240.21161,x64,10.0.10240.21161,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.10240.21161_x64.dll,10.0.10240.21161,x64,10.0.10240.21161,LocalOnlyOffset.x64,96011,,mismatch,DIFF
10.0.10240.21161_x64.dll,10.0.10240.21161,x64,10.0.10240.21161,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.10586.589_x86.dll,10.0.10586.589,x86,,,,,,OK
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,LocalOnlyOffset.x64,8D781,,mismatch,DIFF
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,LocalOnlyOffset.x64,8D861,,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.17063.1000_x64.dll,10.0.17063.1000,x64,10.0.17063.1000,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.17063.1000_x64.dll,10.0.17063.1000,x64,10.0.17063.1000,LocalOnlyOffset.x64,92671,,mismatch,DIFF
10.0.17063.1000_x64.dll,10.0.17063.1000,x64,10.0.17063.1000,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.17134.1_x64.dll,10.0.17134.1,x64,10.0.17134.1,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.17134.1_x64.dll,10.0.17134.1,x64,10.0.17134.1,LocalOnlyOffset.x64,925D1,,mismatch,DIFF
10.0.17134.1_x64.dll,10.0.17134.1,x64,10.0.17134.1,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.17134.1_x86.dll,10.0.17134.1,x86,,,,,,OK
10.0.17763.1971_x86.dll,10.0.17763.1971,x86,,,,,,OK
10.0.17763.1_x64.dll,10.0.17763.1,x64,10.0.17763.1,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.17763.1_x64.dll,10.0.17763.1,x64,10.0.17763.1,LocalOnlyOffset.x64,77941,,mismatch,DIFF
10.0.17763.1_x64.dll,10.0.17763.1,x64,10.0.17763.1,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.17763.4720_x64.dll,10.0.17763.4720,x64,10.0.17763.4720,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.17763.4720_x64.dll,10.0.17763.4720,x64,10.0.17763.4720,LocalOnlyOffset.x64,8E9B1,,mismatch,DIFF
10.0.17763.4720_x64.dll,10.0.17763.4720,x64,10.0.17763.4720,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.17763.771_x64.dll,10.0.17763.771,x64,10.0.17763.771,LocalOnlyCode.x64,jmpshort,,mismatch,DIFF
10.0.17763.771_x64.dll,10.0.17763.771,x64,10.0.17763.771,LocalOnlyOffset.x64,77AD1,,mismatch,DIFF
10.0.17763.771_x64.dll,10.0.17763.771,x64,10.0.17763.771,LocalOnlyPatch.x64,1,0,mismatch,DIFF
10.0.18362.267_x64.dll,10.0.18362.267,x64,,,,,,OK
10.0.18362.53_x64.dll,10.0.18362.53,x64,,,,,,OK
10.0.18362.836_x64.dll,10.0.18362.836,x64,,,,,,OK
10.0.19041.1202_x64.dll,10.0.19041.1202,x64,,,,,,OK
10.0.19041.2913_x86.dll,10.0.19041.2913,x86,,,,,,OK
10.0.19041.3636_x64.dll,10.0.19041.3636,x64,,,,,,OK
10.0.19041.4239_x64.dll,10.0.19041.4239,x64,,,,,,OK
10.0.19041.4239_x86.dll,10.0.19041.4239,x86,,,,,,OK
10.0.19041.4355_x64.dll,10.0.19041.4355,x64,,,,,,OK
10.0.19041.4355_x86.dll,10.0.19041.4355,x86,,,,,,OK
10.0.19041.6456_x86.dll,10.0.19041.6456,x86,,,,,,OK
10.0.19041.746_x64.dll,10.0.19041.746,x64,,,,,,OK
10.0.19041.84_x86.dll,10.0.19041.84,x86,,,,,,OK
10.0.20348.3451_x64.dll,10.0.20348.3451,x64,,,,,,OK
10.0.20348.4294_x64.dll,10.0.20348.4294,x64,,,,,,OK
10.0.20348.4767_x64.dll,10.0.20348.4767,x64,,,,,,OK
10.0.20348.75_x64.dll,10.0.20348.75,x64,,,,,,OK
10.0.22000.1_x64.dll,10.0.22000.1,x64,,,,,,OK
10.0.22000.464_x64.dll,10.0.22000.464,x64,,,,,,OK
10.0.22621.3374_x64.dll,10.0.22621.3374,x64,,,,,,OK
10.0.22621.3447_x64.dll,10.0.22621.3447,x64,,,,,,OK
10.0.22621.3527_x64.dll,10.0.22621.3527,x64,,,,,,OK
10.0.22621.608_x64.dll,10.0.22621.608,x64,,,,,,OK
10.0.26100.1_x64.dll,10.0.26100.1,x64,,,,,,OK
10.0.26100.32230_x64.dll,10.0.26100.32230,x64,,,,,,OK
10.0.26100.32684_x64.dll,10.0.26100.32684,x64,,,,,,OK
10.0.26100.3323_x64.dll,10.0.26100.3323,x64,,,,,,OK
10.0.26100.3624_x64.dll,10.0.26100.3624,x64,,,,,,OK
10.0.26100.3912_x64.dll,10.0.26100.3912,x64,,,,,,OK
10.0.26100.4202_x64.dll,10.0.26100.4202,x64,,,,,,OK
10.0.26100.4484_x64.dll,10.0.26100.4484,x64,,,,,,OK
10.0.26100.4768_x64.dll,10.0.26100.4768,x64,,,,,,OK
10.0.26100.5074_x64.dll,10.0.26100.5074,x64,,,,,,OK
10.0.26100.6899_x64.dll,10.0.26100.6899,x64,,,,,,OK
10.0.26100.7019_x64.dll,10.0.26100.7019,x64,,,,,,OK
